,filename,years,title
0,1.txt,1992,"Isaac Asimov, Whose Thoughts and Books Traveled the Universe, Is Dead at 72"
1,4.txt,1938,Stanislavsky Dies in Moscow At 75
2,6.txt,1976,Adolph Zukor Is Dead at 103; Built Paramount Movie Empire
3,9.txt,1998,Galina Ulanova Is Dead at 88; A Revered Bolshoi Ballerina
4,14.txt,1968,Martin Luther King Jr.: Leader of Millions in Nonviolent Drive for Racial Justice
5,15.txt,1984,"Ethel Merman, Queen of Musicals, Dies at 76"
6,22.txt,1948,Sergei Eisenstein Is Dead In Moscow
7,26.txt,1945,"Jerome Kern Dies; Noted Composer, 60"
8,28.txt,1901,President M&aposKinley&aposs Illustrious Career
9,29.txt,1945,Family Of Wealth Gave Advantages
10,31.txt,1967,"Langston Hughes, Writer, 65, Dead"
11,35.txt,1965,"Adlai Ewing Stevenson: An Urbane, Witty, Articulate Politician and Diplomat"
12,36.txt,1948,"Babe Ruth, Baseball&aposs Great Star and Idol of Children, Had a Career Both Dramatic and Bizarre"
13,37.txt,1895,Death Of Fred Douglass
14,38.txt,1965,"Martin Buber, 87, Dies in Israel; Renowned Jewish Philosopher"
15,56.txt,1943,"J. H. Kellogg Dies; Health Expert, 91"
16,58.txt,1994,Linus C. Pauling Dies at 93; Chemist and Voice for Peace
17,59.txt,1914,John P. Holland Dead
18,61.txt,1991,"Dr. Seuss, Modern Mother Goose, Dies at 87"
19,72.txt,1916,Prof. Lowell Dies; Martian Theory His
20,74.txt,1954,"Liberty H. Bailey, Botanist, Is Dead"
21,78.txt,1974,"Earl Warren, 83, Who Led High Court In Time of Vast Social Change, Is Dead"
22,79.txt,1915,"F. W. Taylor, Expert in Efficiency, Dies"
23,94.txt,1983,"Muddy Waters, Blues Performer, Dies"
24,101.txt,1971,"Architect of Postwar Policy, Acheson Advocated Containment of the Soviet Union"
25,102.txt,1994,"Jan Tinbergen, Dutch Economist and Nobel Laureate, Dies at 91"
26,104.txt,1936,Mrs. Macy Is Dead; Aided Miss Keller
27,106.txt,1977,"Chaplin&aposs Little Tramp, an Everyman Trying to Gild Cage of Life, Enthralled World"
28,107.txt,1971,Khrushchev&aposs Human Dimensions Brought Him to Power and to His Downfall
29,108.txt,1938,Clarence Darrow Is Dead in Chicago
30,109.txt,1954,Vargas Adopted &aposStrong Man&apos Role
31,111.txt,1914,"John Muir, Aged Naturalist, Dead"
32,113.txt,1947,"Max Planck Dead; Noted Physicist, 89"
33,116.txt,1986,Bernard Malamud Dies at 71; Chronicled Human Struggle
34,118.txt,1954,Lionel Barrymore Is Dead at 76; Actor&aposs Career Spanned 61 Years
35,123.txt,1978,Golda Meir: Peace and Arab Acceptance Were Goals of Her 5 Years as Premier
36,124.txt,1941,"Dr. Frank Conrad, Radio Pioneer, Dies"
37,127.txt,1952,Saga Of Eva Peron: 12 Years To Power
38,129.txt,1939,"Howard Carter, 64, Egyptologist, Dies"
39,132.txt,1910,"Miss Nightingale Dies, Aged Ninety"
40,136.txt,1954,Anne O&aposHare McCormick Is Dead; Member of Times Editorial Board
41,140.txt,1997,"James Stewart, the Hesitant Hero, Dies at 89"
42,142.txt,1930,Conan Doyle Dead From Heart Attack
43,144.txt,1901,Longest Reign In English History
44,145.txt,1991,"Miles Davis, Trumpeter, Dies; Jazz Genius, 65, Defined Cool"
45,151.txt,1939,Pontiff Spent His Life in Religion From His Boyhood Years
46,155.txt,1960,"Beno Gutenberg, Seismologist, 70"
47,159.txt,1959,Frank Lloyd Wright Dies; Famed Architect Was 89
48,164.txt,1939,W. B. Yeats Dead; Famous Irish Poet
49,169.txt,1970,"Daladier, Signer of Munich Pact, Dies at 86"
50,172.txt,1980,"Jean-Paul Sartre, 74, Dies in Paris"
51,179.txt,1979,Richard Rodgers Is Dead at Age 77; Broadway&aposs Renowned Composer
52,180.txt,1938,"Dr. George E. Hale, Astronomer, Dead"
53,184.txt,1942,"George M. Cohan, 64, Dies at Home Here"
54,185.txt,1933,"Unusual Political Career of Calvin Coolidge, Never Defeated for an Office"
55,186.txt,1891,The Great Showman Dead
56,187.txt,1954,"Frida Kahlo, Artist, Diego Rivera&aposs Wife"
57,190.txt,1999,Hassan II of Morocco Dies at 70; A Monarch Oriented to the West
58,191.txt,1993,"Arthur Ashe, Tennis Star, Is Dead at 49"
59,200.txt,1917,"Hilaire G. E. Degas, Noted Painter, Dies"
60,205.txt,1998,"Bella Abzug, 77, Congresswoman And a Founding Feminist, Is Dead"
