,filename,years,title
0,1.txt,1972,"J. Edgar Hoover Made the F.B.I. Formidable With Politics, Publicity and Results"
1,2.txt,1969,Dirksen Dead in Capital at 73
2,3.txt,1961,Rayburn Is Dead; Served 17 Years As House Speaker
3,4.txt,1994,The 37th President; In Three Decades
4,5.txt,1965,"Albert Schweitzer, 90, Dies at His Hospital"
5,6.txt,1968,Martin Luther King Jr.: Leader of Millions in Nonviolent Drive for Racial Justice
6,7.txt,1953,Vinson Excelled In Federal Posts
7,8.txt,1964,Commander of Armies That Turned Back Japan Led a Brigade in World War I
8,9.txt,1982,Arthur Rubinstein Dies in Geneva at 95
9,10.txt,1901,President M'Kinley's Illustrious Career
10,11.txt,1972,"Jackie Robinson, First Black in Major Leagues, Dies"
11,12.txt,1974,Daring Lindbergh Attained the Unattainable With Historic Flight Across Atlantic
12,13.txt,1965,"Adlai Ewing Stevenson: An Urbane, Witty, Articulate Politician and Diplomat"
13,14.txt,1948,"Babe Ruth, Baseball's Great Star and Idol of Children, Had a Career Both Dramatic and Bizarre"
14,15.txt,1895,Death Of Fred Douglass
15,16.txt,1959,Dulles Formulated and Conducted U.S. Foreign Policy for More Than Six Years
16,17.txt,1971,Justice Black Dies at 85; Served on Court 34 Years
17,18.txt,1994,Linus C. Pauling Dies at 93; Chemist and Voice for Peace
18,19.txt,1995,"Assassination in Israel; Yitzhak Rabin, 73, an Israeli Soldier Turned Prime Minister and Peacemaker"
19,20.txt,1935,Adolph S. Ochs Dead at 77; Publisher of Times Since 1896
20,21.txt,1955,Dr. Albert Einstein Dies in Sleep at 76; World Mourns Loss of Great Scientist
21,22.txt,1908,Mr. Cleveland is Dead at 71
22,23.txt,1974,"Earl Warren, 83, Who Led High Court In Time of Vast Social Change, Is Dead"
23,24.txt,1967,"Henry R. Luce, Creator of Time-Life Magazine Empire, Dies in Phoenix at 68"
24,25.txt,1911,Joseph Pulitzer Dies Suddenly
25,26.txt,1971,"Architect of Postwar Policy, Acheson Advocated Containment of the Soviet Union"
26,27.txt,1989,Samuel Beckett Is Dead at 83; His 'Godot' Changed Theater
27,28.txt,1979,A. Philip Randolph Is Dead; Pioneer in Rights and Labor
28,29.txt,1977,"Chaplin's Little Tramp, an Everyman Trying to Gild Cage of Life, Enthralled World"
29,30.txt,1971,Khrushchev's Human Dimensions Brought Him to Power and to His Downfall
30,31.txt,1938,Clarence Darrow Is Dead in Chicago
31,32.txt,1945,Hitler Fought Way to Power Unique in Modern History
32,33.txt,1967,"J. Robert Oppenheimer, Atom Bomb Pioneer, Dies"
33,34.txt,1965,"Edward R. Murrow, Broadcaster And Ex-Chief of U.S.I.A., Dies"
34,35.txt,1885,The Career of a Soldier
35,36.txt,1998,"Benjamin Spock, World's Pediatrician, Dies at 94"
36,37.txt,1978,Golda Meir: Peace and Arab Acceptance Were Goals of Her 5 Years as Premier
37,38.txt,1985,Orson Welles is Dead at 70; Innovator of Film and Stage
38,39.txt,1945,Harry S. Truman: Decisive President
39,40.txt,1991,Martha Graham Dies at 96; A Revolutionary in Dance
40,41.txt,1976,Mayor Richard Daley of Chicago Dies at 74
41,42.txt,1969,Ho Chi Minh Was Noted for Success in Blending Nationalism and Communism
42,43.txt,1989,"Andrei Sakharov, 68, Soviet 'Conscience,' Dies"
43,44.txt,1966,Alfred P. Sloan Jr. Dead at 90; G.M. Leader and Philanthropist
44,45.txt,1901,Longest Reign In English History
45,46.txt,1986,"BENNY GOODMAN, KING OF SWING, IS DEAD"
46,47.txt,1997,"Allen Ginsberg, Master Poet Of Beat Generation, Dies at 70"
47,48.txt,1994,"Jessica Tandy, a Patrician Star Of Theater and Film, Dies at 85"
48,49.txt,1977,Career Built on Style and Dash Ended with Invasion of Egypt
